200,2,270,600036.768038,651380.0972140001,759
194,2,289,600384.426337,650135.919067,439
188,2,299,600695.2881560001,649310.659722,226
181,2,284,601444.1821689999,651442.91114,800
181,2,283,601444.1821689999,651442.91114,800
166,2,257,601428.150315,650692.507349,584
148,1,230,601126.877516,653538.780584,1364
141,0,230,601126.877516,653538.780584,1364
131,2,234,601514.911596,650068.348954,423
103,2,253,600225.931191,650539.987491,545
97,2,276,600417.844322,650529.417888,547
95,2,268,601425.552067,651021.580236,692
71,2,242,600082.5562270001,648749.54388,58
71,2,241,600082.5562270001,648749.54388,58
69,2,292,601976.9827520001,650184.426394,454
69,2,291,601976.9827520001,650184.426394,454
65,2,280,601027.1240899999,649330.715251,229
65,2,273,600722.831242,649476.799049,253
23,2,297,600030.651665,651928.3534,921
23,2,296,600030.651665,651928.3534,921
23,2,259,600078.941324,651854.245087,895
23,2,246,599987.8326760001,651933.067514,921
23,2,245,599987.8326760001,651933.067514,921
