194,2,289,600384.426337,650135.919067,439
166,1,257,601317.044336,650546.789429,556
141,1,230,600448.807269,652805.61038,1168
131,2,234,601514.911596,650068.348954,423
103,2,253,600225.931191,650539.987491,545
97,2,276,600417.844322,650529.417888,547
95,2,268,601425.552067,651021.580236,692
84,0,284,601438.125247,651750.5205710001,881
84,0,283,601438.125247,651750.5205710001,881
83,2,270,601014.735105,651455.013695,796
71,2,242,600082.5562270001,648749.54388,58
71,2,241,600082.5562270001,648749.54388,58
69,2,292,601976.9827520001,650184.426394,454
69,2,291,601976.9827520001,650184.426394,454
65,2,299,600968.2116180001,649370.435793,228
65,2,280,601027.1240899999,649330.715251,229
65,2,273,600722.831242,649476.799049,253
58,0,257,601317.044336,650546.789429,556
30,1,284,601438.125247,651750.5205710001,881
30,1,283,601438.125247,651750.5205710001,881
24,0,230,600448.807269,652805.61038,1168
23,2,297,600030.651665,651928.3534,921
23,2,296,600030.651665,651928.3534,921
23,2,259,600078.941324,651854.245087,895
23,2,246,599987.8326760001,651933.067514,921
23,2,245,599987.8326760001,651933.067514,921
