t,Antenna ID,x,y,MNO ID,Tile ID
0,179,601303.741421,652326.078740,0,1042
0,178,601144.334233,652789.343736,0,1148
0,177,600179.115488,650183.325527,0,437
0,176,600029.392548,650255.195726,0,462
0,175,600081.671158,650344.149151,0,490
0,174,600076.587404,650334.388663,0,489
0,173,600128.615767,650126.869287,0,436
0,172,600156.747389,650119.216755,0,436
0,171,600876.994620,648545.178606,0,11
0,170,600414.591803,648563.328886,0,7
0,169,600876.994620,648545.178606,0,11
0,168,602269.653485,649293.913558,0,214
0,167,599866.448293,649981.128457,0,379
0,166,600466.235943,650809.004106,0,628
0,165,600013.206809,651370.215905,0,759
0,164,599888.587660,651576.850217,0,812
0,163,601234.756727,649930.096893,0,393
0,162,600695.158770,651539.439004,0,820
0,161,599878.314729,650200.959706,0,434
0,160,600201.739966,650151.493787,0,437
0,159,600389.851506,650070.533965,0,412
0,158,601044.310380,650625.573849,0,580
0,157,599880.764138,651387.090223,0,758
0,156,599885.113262,651511.188939,0,812
0,155,599977.198226,650426.336050,0,515
0,154,599782.566801,650193.530619,0,433
0,153,600575.485746,649192.663043,0,170
0,152,600177.334836,650237.229683,0,463
0,151,599997.107823,650320.867055,0,489
0,150,599997.107823,650320.867055,0,489
0,149,599997.107823,650320.867055,0,489
0,148,600070.994982,650353.133080,0,489
0,147,602091.639346,650168.839482,0,456
0,146,600462.456620,651844.056818,0,898
0,145,601595.914140,650262.130035,0,478
0,144,601754.253765,650001.184590,0,398
0,143,601844.379912,650130.642635,0,453
0,142,601429.075893,651164.605045,0,719
0,141,601701.682617,650911.333404,0,668
0,140,601514.964746,650836.648384,0,639
0,139,601253.743722,650913.353125,0,663
0,138,602010.640305,650079.220989,0,428
0,137,601005.295896,652453.363157,0,1066
0,136,601829.593588,651006.527715,0,696
0,135,600140.785846,651817.424164,0,895
0,134,601908.324084,650247.229119,0,481
0,133,600995.886733,653146.024897,0,1255
0,132,601121.891786,650481.765460,0,527
0,131,601276.841744,651691.832749,0,852
0,130,602034.368431,649754.804185,0,347
0,129,601993.873993,650679.483354,0,590
0,128,601466.935615,652092.744317,0,962
0,127,601955.518257,650907.623783,0,670
0,126,601728.494496,651481.549915,0,803
0,125,602033.498051,650154.981345,0,455
0,124,600438.774333,652447.541418,0,1060
0,123,599880.764138,651387.090223,0,758
0,122,600265.780067,653072.094563,0,1220
0,121,599950.430560,651493.109181,0,785
0,120,600423.797926,652148.514670,0,979
0,119,600912.535215,652505.259459,0,1092
0,118,600040.650365,652395.731619,0,1029
0,117,600229.854735,653479.816784,0,1328
0,116,601300.527304,649346.146718,0,232
0,115,601858.688687,651082.682763,0,696
0,114,601509.486680,651962.649919,0,936
0,113,601393.633122,649026.288298,0,152
0,112,600102.843823,651082.504879,0,679
0,111,601509.865606,650067.125573,0,423
0,110,600328.997928,652350.263662,0,1032
0,109,600734.026359,650219.406117,0,469
0,108,599917.122167,650197.077191,0,434
0,107,600383.564716,652062.997373,0,952
0,106,601147.781818,650168.659057,0,446
0,105,601171.150727,651373.301396,0,770
0,104,601393.658876,649102.459864,0,179
0,103,599873.838734,651088.494603,0,676
0,102,601838.075230,650620.215684,0,588
0,101,599874.773369,651250.540365,0,730
0,100,599952.971898,651460.722164,0,785
0,99,600767.638989,650476.064527,0,523
0,98,601636.119472,649674.960373,0,316
0,97,600229.731527,653519.547000,0,1355
0,96,600637.992342,648595.731186,0,9
0,95,600578.875399,650777.841227,0,603
0,94,600826.178987,650549.384913,0,551
0,93,601017.506390,650473.210292,0,526
0,92,600695.256923,650473.216319,0,523
0,91,600113.468344,650320.867906,0,490
0,90,600105.148147,649874.761579,0,355
0,89,600075.488607,650063.647617,0,408
0,88,601975.117142,650778.077317,0,616
0,87,601034.350472,652453.367081,0,1066
0,86,601376.813727,650174.132120,0,448
0,85,600948.749294,650803.725428,0,633
0,84,600343.547664,650930.115830,0,654
0,83,600151.228455,650681.661778,0,571
0,82,601160.361893,652605.722111,0,1121
0,81,600136.254753,649406.927626,0,247
0,80,601426.348317,652148.859325,0,989
0,79,600346.238257,649254.655978,0,195
0,78,600764.288523,650093.521761,0,415
0,77,600376.868770,650440.098761,0,519
0,76,601160.500451,651766.047705,0,878
0,75,601435.225010,650905.954182,0,665
0,74,601510.038168,649102.482232,0,180
0,73,601277.305339,648950.122615,0,123
0,72,600811.576004,650825.448620,0,632
0,71,600543.139128,650016.306518,0,413
0,70,601015.860180,651373.278909,0,769
0,69,600788.674310,651883.790913,0,902
0,68,600479.927448,650011.532938,0,413
0,67,599978.636539,649685.320016,0,300
0,66,599888.482150,650168.572667,0,434
0,65,599977.706294,650320.856797,0,488
0,64,601399.663676,651696.101218,0,854
0,63,601040.342159,651387.146537,0,769
0,62,600346.224293,649559.289654,0,276
0,61,601393.602672,649407.093406,0,260
0,60,600075.308354,651145.060204,0,705
0,59,600603.091980,651568.333068,0,819
0,58,600791.378284,650332.322370,0,497
0,57,599972.115758,650786.474189,0,596
0,56,601276.970521,650930.244464,0,663
0,55,601975.117142,650778.077317,0,616
0,54,599880.766543,651539.407948,0,812
0,53,602091.597164,650321.156674,0,510
0,52,599880.759437,649406.927338,0,245
0,51,600229.907518,648962.720656,0,113
0,50,602091.639346,650168.839482,0,456
0,49,601975.276484,650168.808153,0,454
0,48,601393.096836,652148.807083,0,989
0,47,601393.096836,652148.807083,0,989
0,46,600258.975964,648949.966533,0,113
0,45,600928.085560,649559.338736,0,282
0,44,600928.066845,649711.655671,0,336
0,43,600452.289734,648833.960032,0,88
0,42,600811.582359,650777.862649,0,605
0,41,600695.256923,650473.216319,0,523
0,40,600927.935839,650777.876049,0,606
0,39,601393.265448,651234.900149,0,746
0,38,601233.396992,650473.242463,0,528
0,37,602077.215528,649864.176919,0,374
0,36,602091.681529,650016.522355,0,429
0,35,601509.611886,651234.922510,0,747
0,34,600113.410438,652661.040376,0,1111
0,33,601277.125053,650016.340698,0,420
0,32,601626.351869,649407.139933,0,262
0,31,600507.390452,648616.129367,0,35
0,30,599958.296135,649102.357520,0,164
0,29,599880.761733,651234.772564,0,731
0,28,601678.890587,650916.430356,0,668
0,27,601626.187892,650168.724923,0,451
0,26,601160.338484,652758.040367,0,1148
0,25,599997.107357,649102.331302,0,165
0,24,601742.656183,649711.799685,0,344
0,23,601626.253483,649864.090731,0,370
0,22,601276.815988,651844.150605,0,906
0,21,600387.556938,648550.461488,0,7
0,20,599880.764138,651387.090223,0,758
0,19,601276.738722,652301.104572,0,1014
0,18,601276.893255,651387.197236,0,771
0,17,600811.435042,652148.722172,0,983
0,16,602091.723711,649864.205294,0,375
0,15,601160.502345,651691.813973,0,851
0,14,599880.761733,651234.772564,0,731
0,13,601044.289318,650777.891242,0,607
0,12,600462.428635,652301.010791,0,1006
0,11,600113.438595,652300.997482,0,1003
0,10,600619.985191,649083.638443,0,144
0,9,600889.703943,650012.457404,0,417
0,8,600893.840647,650141.672640,0,444
0,7,600623.540582,649130.887948,0,171
0,6,599913.647218,650116.997343,0,434
0,5,599755.922448,649007.419283,0,135
0,4,599978.637691,650092.373982,0,408
0,3,600975.980512,648571.144499,0,12
0,2,601835.158213,650072.077820,0,426
0,1,600748.206221,650776.196183,0,604
