200,0,270,600036.768038,651380.0972140001,759
194,2,289,600384.426337,650135.919067,439
188,0,299,600542.002939,649301.777959,197
181,2,284,601444.1821689999,651442.91114,800
181,2,283,601444.1821689999,651442.91114,800
166,2,257,601428.150315,650692.507349,584
148,2,230,600284.643085,653002.162496,1221
131,2,234,601514.911596,650068.348954,423
103,0,253,600225.931191,650539.987491,545
99,1,299,600542.002939,649301.777959,197
97,2,276,600417.844322,650529.417888,547
97,1,253,600225.931191,650539.987491,545
95,2,268,601425.552067,651021.580236,692
71,2,242,600082.5562270001,648749.54388,58
71,2,241,600082.5562270001,648749.54388,58
69,2,292,601976.9827520001,650184.426394,454
69,2,291,601976.9827520001,650184.426394,454
65,2,280,601027.1240899999,649330.715251,229
65,2,273,600722.831242,649476.799049,253
26,1,270,600036.768038,651380.0972140001,759
23,2,297,600030.651665,651928.3534,921
23,2,296,600030.651665,651928.3534,921
23,2,259,600078.941324,651854.245087,895
23,2,246,599987.8326760001,651933.067514,921
23,2,245,599987.8326760001,651933.067514,921
